
 LP OPTIMUM FOUND AT STEP     12

        OBJECTIVE FUNCTION VALUE

        1)      17100.00

  VARIABLE        VALUE          REDUCED COST
        L1       150.000000          0.000000
        L2         0.000000          8.000000
        L3       200.000000          0.000000
        L4       250.000000          0.000000
        L5         0.000000          2.000000
        L6       150.000000          0.000000
        L7       100.000000          0.000000
        L8         0.000000          7.000000
        L9       150.000000          0.000000
        K1       100.000000          0.000000
        K2       150.000000          0.000000
        K3       100.000000          0.000000
        K4         0.000000          5.000000
        K5         0.000000          2.000000
        K6       200.000000          0.000000
        K7       200.000000          0.000000
        K8         0.000000          1.000000
        K9         0.000000          7.000000
       K10         0.000000          3.000000
       K11       150.000000          0.000000
       K12       100.000000          0.000000


       ROW   SLACK OR SURPLUS     DUAL PRICES
        2)         0.000000          1.000000
        3)         0.000000          0.000000
        4)         0.000000          0.000000
        5)         0.000000          1.000000
        6)         0.000000          0.000000
        7)         0.000000        -16.000000
        8)         0.000000        -17.000000
        9)         0.000000        -18.000000
       10)         0.000000        -16.000000
       11)         0.000000        -18.000000
       12)         0.000000        -21.000000
       13)         0.000000        -15.000000
       14)         0.000000        -11.000000
       15)         0.000000         -8.000000
       16)         0.000000         -9.000000
       17)       150.000000          0.000000
       18)         0.000000          0.000000
       19)       200.000000          0.000000
       20)       250.000000          0.000000
       21)         0.000000          0.000000
       22)       150.000000          0.000000
       23)       100.000000          0.000000
       24)         0.000000          0.000000
       25)       150.000000          0.000000
       26)       100.000000          0.000000
       27)       150.000000          0.000000
       28)       100.000000          0.000000
       29)         0.000000          0.000000
       30)         0.000000          0.000000
       31)       200.000000          0.000000
       32)       200.000000          0.000000
       33)         0.000000          0.000000
       34)         0.000000          0.000000
       35)         0.000000          0.000000
       36)       150.000000          0.000000
       37)       100.000000          0.000000

 NO. ITERATIONS=      12


 LP OPTIMUM FOUND AT STEP     12

        OBJECTIVE FUNCTION VALUE

        1)      17100.00

  VARIABLE        VALUE          REDUCED COST
        L1       150.000000          0.000000
        L2         0.000000          8.000000
        L3       200.000000          0.000000
        L4       250.000000          0.000000
        L5         0.000000          2.000000
        L6       150.000000          0.000000
        L7       100.000000          0.000000
        L8         0.000000          7.000000
        L9       150.000000          0.000000
        K1       100.000000          0.000000
        K2       150.000000          0.000000
        K3       100.000000          0.000000
        K4         0.000000          5.000000
        K5         0.000000          2.000000
        K6       200.000000          0.000000
        K7       200.000000          0.000000
        K8         0.000000          1.000000
        K9         0.000000          7.000000
       K10         0.000000          3.000000
       K11       150.000000          0.000000
       K12       100.000000          0.000000


       ROW   SLACK OR SURPLUS     DUAL PRICES
        2)         0.000000          1.000000
        3)         0.000000          0.000000
        4)         0.000000          0.000000
        5)         0.000000          1.000000
        6)         0.000000          0.000000
        7)         0.000000        -16.000000
        8)         0.000000        -17.000000
        9)         0.000000        -18.000000
       10)         0.000000        -16.000000
       11)         0.000000        -18.000000
       12)         0.000000        -21.000000
       13)         0.000000        -15.000000
       14)         0.000000        -11.000000
       15)         0.000000         -8.000000
       16)         0.000000         -9.000000
       17)       150.000000          0.000000
       18)         0.000000          0.000000
       19)       200.000000          0.000000
       20)       250.000000          0.000000
       21)         0.000000          0.000000
       22)       150.000000          0.000000
       23)       100.000000          0.000000
       24)         0.000000          0.000000
       25)       150.000000          0.000000
       26)       100.000000          0.000000
       27)       150.000000          0.000000
       28)       100.000000          0.000000
       29)         0.000000          0.000000
       30)         0.000000          0.000000
       31)       200.000000          0.000000
       32)       200.000000          0.000000
       33)         0.000000          0.000000
       34)         0.000000          0.000000
       35)         0.000000          0.000000
       36)       150.000000          0.000000
       37)       100.000000          0.000000

 NO. ITERATIONS=      12

